iter	Passed	Remaining
0	3	318
1	5	271
2	7	251
3	9	221
4	11	219
5	13	206
6	15	206
7	17	204
8	20	202
9	22	201
10	24	195
11	27	199
12	29	196
13	31	190
14	36	209
15	39	204
16	41	200
17	42	194
18	44	188
19	45	182
20	50	188
21	54	192
22	57	192
23	69	219
24	71	213
25	75	216
26	77	209
27	81	208
28	85	208
29	86	202
30	88	197
31	91	194
32	94	191
33	96	187
34	100	186
35	102	182
36	105	178
37	107	175
38	109	171
39	119	178
40	120	173
41	121	167
42	124	164
43	126	160
44	128	156
45	131	153
46	133	150
47	137	148
48	138	144
49	140	140
50	144	138
51	146	135
52	148	131
53	150	128
54	151	124
55	153	120
56	155	117
57	158	114
58	160	111
59	162	108
60	164	105
61	166	101
62	168	98
63	170	95
64	174	93
65	176	91
66	179	88
67	180	84
68	199	89
69	201	86
70	203	82
71	204	79
72	207	76
73	209	73
74	211	70
75	215	68
76	218	65
77	220	62
78	222	59
79	224	56
80	226	53
81	229	50
82	230	47
83	235	44
84	237	41
85	239	38
86	241	36
87	244	33
88	246	30
89	248	27
90	250	24
91	252	21
92	254	19
93	256	16
94	259	13
95	261	10
96	263	8
97	265	5
98	276	2
99	277	0
