iter	Passed	Remaining
0	172	172236
1	176	88027
2	180	59832
3	188	46814
4	190	37874
5	192	31895
6	194	27620
7	200	24809
8	202	22281
9	204	20253
10	206	18596
11	209	17213
12	212	16165
13	214	15102
14	215	14175
15	217	13363
16	218	12648
17	220	12012
18	221	11441
19	224	11003
20	226	10542
21	227	10116
22	229	9732
23	230	9374
24	231	9047
25	233	8743
26	234	8460
27	236	8209
28	237	7950
29	238	7706
30	239	7478
31	240	7264
32	241	7064
33	241	6875
34	242	6697
35	243	6529
36	244	6369
37	245	6218
38	249	6139
39	250	6005
40	251	5876
41	252	5754
42	253	5635
43	254	5521
44	255	5412
45	255	5308
46	256	5208
47	257	5113
48	258	5022
49	259	4935
50	262	4885
51	263	4803
52	264	4724
53	265	4648
54	266	4575
55	267	4504
56	268	4436
57	269	4369
58	269	4305
59	270	4242
60	271	4182
61	272	4124
62	273	4068
63	276	4048
64	277	3996
65	278	3947
66	279	3896
67	280	3848
68	281	3800
69	282	3754
70	283	3709
71	284	3665
72	285	3622
73	286	3581
74	287	3540
75	288	3501
76	291	3493
77	292	3457
78	293	3420
79	294	3384
80	295	3349
81	296	3315
82	296	3277
83	297	3244
84	298	3212
85	299	3181
86	300	3151
87	301	3121
88	302	3092
89	304	3081
90	306	3056
91	308	3041
92	310	3025
93	311	2999
94	312	2977
95	313	2953
96	314	2931
97	315	2907
98	317	2886
99	319	2879
100	321	2859
101	322	2839
102	323	2819
103	324	2798
104	325	2777
105	326	2757
106	327	2736
107	328	2715
108	329	2695
109	333	2697
110	335	2683
111	335	2663
112	336	2644
113	337	2625
114	338	2606
115	339	2587
116	340	2568
117	341	2550
118	342	2532
119	343	2515
120	343	2498
121	344	2480
122	347	2474
123	348	2458
124	348	2442
125	349	2427
126	350	2410
127	351	2395
128	352	2380
129	353	2365
130	354	2350
131	355	2335
132	356	2321
133	356	2307
134	357	2293
135	361	2296
136	362	2283
137	363	2271
138	364	2259
139	365	2248
140	367	2235
141	367	2221
142	368	2209
143	369	2197
144	370	2185
145	371	2173
146	372	2161
147	376	2166
148	377	2155
149	378	2145
150	380	2137
151	381	2126
152	382	2116
153	383	2105
154	384	2094
155	385	2084
156	386	2074
157	387	2063
158	388	2056
159	389	2046
160	390	2035
161	391	2025
162	392	2017
163	394	2009
164	395	2000
165	396	1992
166	397	1984
167	398	1975
168	403	1985
169	404	1976
170	405	1967
171	406	1958
172	407	1949
173	408	1941
174	409	1932
175	410	1923
176	411	1914
177	412	1906
178	413	1897
179	417	1903
180	418	1895
181	419	1886
182	420	1878
183	421	1869
184	422	1861
185	423	1853
186	424	1844
187	425	1836
188	426	1828
189	427	1820
190	427	1812
191	430	1811
192	431	1805
193	432	1797
194	433	1790
195	434	1782
196	435	1775
197	436	1767
198	437	1760
199	438	1752
200	439	1745
201	440	1738
202	440	1731
203	441	1723
204	442	1716
205	446	1720
206	447	1713
207	448	1708
208	449	1702
209	450	1695
210	451	1689
211	453	1683
212	454	1678
213	456	1675
214	460	1682
215	462	1677
216	463	1672
217	464	1666
218	465	1661
219	466	1655
220	467	1649
221	468	1643
222	469	1637
223	470	1631
224	473	1632
225	475	1628
226	476	1623
227	477	1618
228	479	1613
229	480	1608
230	481	1603
231	482	1597
232	483	1592
233	484	1586
234	485	1581
235	489	1583
236	490	1578
237	491	1573
238	492	1567
239	493	1562
240	494	1557
241	495	1552
242	496	1546
243	497	1541
244	498	1537
245	502	1540
246	503	1535
247	504	1530
248	505	1525
249	508	1526
250	510	1523
251	511	1518
252	512	1514
253	513	1509
254	516	1508
255	517	1504
256	518	1499
257	519	1495
258	521	1493
259	523	1488
260	524	1484
261	525	1479
262	526	1474
263	527	1469
264	527	1464
265	529	1460
266	530	1457
267	532	1453
268	533	1449
269	534	1444
270	535	1439
271	535	1434
272	536	1429
273	537	1424
274	538	1420
275	544	1427
276	545	1423
277	546	1419
278	547	1415
279	548	1410
280	549	1406
281	550	1401
282	551	1397
283	552	1392
284	553	1388
285	554	1384
286	555	1381
287	557	1377
288	558	1373
289	559	1369
290	560	1365
291	561	1362
292	562	1358
293	563	1353
294	569	1360
295	570	1357
296	572	1355
297	573	1351
298	574	1347
299	575	1343
300	576	1339
301	577	1335
302	578	1330
303	584	1337
304	585	1334
305	587	1331
306	588	1328
307	589	1324
308	591	1321
309	592	1319
310	598	1325
311	599	1322
312	601	1320
313	602	1317
314	604	1313
315	605	1310
316	606	1306
317	607	1303
318	608	1299
319	613	1303
320	614	1299
321	615	1295
322	616	1291
323	617	1287
324	618	1283
325	619	1279
326	619	1275
327	620	1272
328	621	1268
329	622	1264
330	627	1268
331	628	1264
332	629	1261
333	630	1257
334	631	1253
335	632	1249
336	633	1245
337	634	1241
338	634	1238
339	635	1234
340	636	1230
341	637	1226
342	641	1229
343	642	1225
344	643	1222
345	644	1218
346	645	1214
347	646	1211
348	647	1207
349	648	1203
350	649	1200
351	649	1196
352	650	1192
353	651	1189
354	654	1188
355	656	1187
356	657	1183
357	658	1180
358	659	1176
359	659	1173
360	660	1169
361	661	1166
362	662	1162
363	663	1159
364	664	1156
365	665	1152
366	667	1150
367	668	1148
368	669	1145
369	670	1141
370	671	1138
371	672	1134
372	673	1131
373	674	1128
374	675	1125
375	675	1121
376	676	1118
377	677	1115
378	678	1112
379	681	1111
380	682	1108
381	683	1105
382	684	1102
383	685	1099
384	686	1096
385	687	1093
386	688	1090
387	689	1087
388	690	1083
389	690	1080
390	691	1077
391	692	1074
392	696	1076
393	697	1073
394	698	1069
395	699	1066
396	700	1063
397	701	1060
398	702	1057
399	703	1054
400	704	1051
401	704	1048
402	705	1045
403	706	1042
404	707	1039
405	710	1039
406	711	1036
407	712	1033
408	713	1030
409	714	1027
410	715	1024
411	716	1022
412	717	1019
413	717	1016
414	718	1013
415	719	1010
416	720	1007
417	722	1005
418	723	1003
419	724	1000
420	725	997
421	726	994
422	727	991
423	728	989
424	728	986
425	729	983
426	730	980
427	731	977
428	732	975
429	733	972
430	734	969
431	738	970
432	739	967
433	740	965
434	741	962
435	741	959
436	742	957
437	743	954
438	744	951
439	745	948
440	746	946
441	747	943
442	748	940
443	749	938
444	752	938
445	754	936
446	755	934
447	757	932
448	758	930
449	759	928
450	760	926
451	762	924
452	765	923
453	766	921
454	767	919
455	768	916
456	769	913
457	770	911
458	771	908
459	771	906
460	772	903
461	773	900
462	774	898
463	775	895
464	776	893
465	777	890
466	780	890
467	781	888
468	782	885
469	783	883
470	784	880
471	785	878
472	786	876
473	787	873
474	788	871
475	789	868
476	790	866
477	794	867
478	795	865
479	796	863
480	797	860
481	798	858
482	799	856
483	800	853
484	801	851
485	802	848
486	803	846
487	804	844
488	808	844
489	809	842
490	810	840
491	811	838
492	812	835
493	813	833
494	814	831
495	815	828
496	816	826
497	817	824
498	818	821
499	819	819
500	821	817
501	822	815
502	823	813
503	824	811
504	825	809
505	826	806
506	827	804
507	828	802
508	829	800
509	830	797
510	835	799
511	837	797
512	838	795
513	839	794
514	841	792
515	843	791
516	848	792
517	849	790
518	850	788
519	851	785
520	852	783
521	853	781
522	854	779
523	855	776
524	856	774
525	857	772
526	858	770
527	859	768
528	864	769
529	866	768
530	867	766
531	868	764
532	870	762
533	872	761
534	873	759
535	878	760
